"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"8543","Legislation","9632","Passed/Approved","Plan released","","03/09/2020",""
"8542","Legislation","9633","Passed/Approved","Approved","","01/01/2015",""
"8541","Legislation","9631","Passed/Approved","Approved","","01/02/2017",""
"8540","Legislation","9630","Passed/Approved","Approved","","01/01/2016",""
"8539","Legislation","9629","Passed/Approved","Approved","","01/01/2012",""
"8538","Legislation","9628","Passed/Approved","Approved","","01/05/2015",""
"8533","Legislation","9627","Passed/Approved","Approved","","01/01/1989",""
"8532","Legislation","9626","Passed/Approved","Approved","","01/11/2012",""
"8531","Legislation","9625","Amended","Amended","","01/01/2010",""
"8530","Legislation","9625","Passed/Approved","Approved","","01/01/1991",""
"8529","Legislation","9624","Passed/Approved","Approved","","01/01/2015",""
"8528","Legislation","8234","Passed/Approved","Regulation 12/2017 issued","","30/01/2017",""
"8527","Legislation","4941","Passed/Approved","Approved","","01/01/2018",""
"8526","Legislation","9623","Passed/Approved","Approved","","26/01/2017",""
"8525","Legislation","4322","Passed/Approved","Approved","","01/01/2019",""
"8524","Legislation","9622","Passed/Approved","Approved","","01/01/2018",""
"8523","Legislation","9621","Passed/Approved","Approved","","01/01/2017",""
"8522","Legislation","9620","Passed/Approved","Approved","","14/07/2017",""
"8521","Legislation","8234","Amended","Amended","","28/02/2020",""
"8520","Legislation","9619","Passed/Approved","Approved","","01/01/2017",""
"8519","Legislation","9618","Passed/Approved","Approved","","01/01/2015",""
"8518","Legislation","9617","Passed/Approved","Approved","","01/01/2001",""
"8517","Legislation","9616","Passed/Approved","Approved","","01/11/2015",""
"8516","Legislation","9615","Passed/Approved","Approved","","01/01/2016",""
"8515","Legislation","9614","Passed/Approved","Approved","","25/12/2019",""
"8514","Legislation","9613","Passed/Approved","Approved","","01/11/2006",""
"8513","Legislation","9612","Passed/Approved","Approved","","01/01/2017",""
"8512","Legislation","9611","Passed/Approved","Approved","","01/05/2016",""
